Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time_avg,time_min,time_max,type,n,r
ijk_ikj_100_25,4.6E+6,1E+6,2E+6,0,0,1.8E+6,0,0,0,0,0,0,0,0,ijk_ikj,100,25
ijk_ikj_200_10,65E+6,19.4E+6,15.6E+6,0,0,15.06E+6,180E+3,92E+3,0,0,0,0.0019,0.001,0.002,ijk_ikj,200,10
ijk_ikj_200_20,46.6E+6,15.2E+6,12.6E+6,0,0,15.38E+6,40E+3,24E+3,0,4E+3,0,0.0018,0.001,0.002,ijk_ikj,200,20
ijk_ikj_200_25,47.6E+6,15E+6,12.2E+6,0,0,11.5E+6,40E+3,48E+3,0,0,0,0.0016,0.001,0.002,ijk_ikj,200,25
ijk_ikj_200_40,42.2E+6,14E+6,11.4E+6,0,0,16.86E+6,0,32E+3,4E+3,8E+3,8E+3,0.0021,0.001,0.003,ijk_ikj,200,40
ijk_ikj_200_50,43E+6,15.6E+6,12E+6,0,0,16.4E+6,40E+3,24E+3,8E+3,0,0,0.0014,0.001,0.002,ijk_ikj,200,50
ijk_ikj_300_10,218.4E+6,66.4E+6,54.6E+6,0,0,53.7E+6,320E+3,396E+3,28E+3,28E+3,0,0.0067,0.006,0.008,ijk_ikj,300,10
ijk_ikj_300_12,180.6E+6,53.8E+6,44.8E+6,0,0,67.82E+6,340E+3,164E+3,20E+3,36E+3,0,0.0057,0.005,0.007,ijk_ikj,300,12
ijk_ikj_300_15,191.6E+6,56.8E+6,47.4E+6,0,0,57.9E+6,240E+3,156E+3,32E+3,32E+3,0,0.006,0.005,0.007,ijk_ikj,300,15
ijk_ikj_300_20,159E+6,51.2E+6,41.4E+6,0,0,36.42E+6,60E+3,128E+3,44E+3,24E+3,0,0.0057,0.004,0.007,ijk_ikj,300,20
ijk_ikj_300_25,160.4E+6,50.8E+6,42.6E+6,20E+3,0,62.3E+6,140E+3,84E+3,20E+3,24E+3,4E+3,0.005,0.005,0.005,ijk_ikj,300,25
ijk_ikj_300_30,157.6E+6,49.2E+6,39.8E+6,0,0,47.1E+6,80E+3,88E+3,44E+3,28E+3,0,0.0054,0.004,0.007,ijk_ikj,300,30
ijk_ikj_300_50,145.8E+6,50.4E+6,41.6E+6,0,0,46.7E+6,40E+3,116E+3,28E+3,28E+3,0,0.0057,0.004,0.007,ijk_ikj,300,50
ijk_ikj_300_60,138.6E+6,45.4E+6,38.6E+6,0,0,40.04E+6,120E+3,156E+3,36E+3,16E+3,4E+3,0.0057,0.004,0.009,ijk_ikj,300,60
ijk_ikj_300_75,140.2E+6,44.6E+6,37.2E+6,0,0,66.02E+6,620E+3,280E+3,16E+3,24E+3,4E+3,0.0046,0.004,0.006,ijk_ikj,300,75
ijk_ikj_400_10,518E+6,145.8E+6,119.6E+6,0,0,156.26E+6,1.02E+6,728E+3,92E+3,88E+3,0,0.0139,0.013,0.017,ijk_ikj,400,10
ijk_ikj_400_16,397.2E+6,119.4E+6,98.6E+6,0,0,120.16E+6,460E+3,308E+3,112E+3,112E+3,4E+3,0.0124,0.011,0.014,ijk_ikj,400,16
ijk_ikj_400_20,377.2E+6,121.8E+6,100.8E+6,0,0,111.18E+6,260E+3,228E+3,124E+3,108E+3,4E+3,0.0117,0.011,0.013,ijk_ikj,400,20
ijk_ikj_400_25,382E+6,112E+6,93.2E+6,0,0,118.3E+6,280E+3,188E+3,128E+3,104E+3,4E+3,0.0118,0.011,0.013,ijk_ikj,400,25
ijk_ikj_400_40,339.8E+6,107E+6,88.4E+6,0,0,95.1E+6,200E+3,256E+3,84E+3,100E+3,4E+3,0.0124,0.01,0.016,ijk_ikj,400,40
ijk_ikj_400_50,345.2E+6,113.4E+6,94.4E+6,0,0,145.34E+6,400E+3,244E+3,52E+3,32E+3,0,0.0107,0.01,0.013,ijk_ikj,400,50
ijk_ikj_400_80,322.4E+6,106.4E+6,89.4E+6,0,0,153.3E+6,2.16E+6,1.18E+6,40E+3,16E+3,0,0.013,0.01,0.021,ijk_ikj,400,80
ijk_ikj_400_100,318E+6,109.8E+6,90E+6,0,0,135.38E+6,2.7E+6,1.86E+6,32E+3,56E+3,0,0.01,0.009,0.011,ijk_ikj,400,100
ijk_ikj_500_10,1.0132E+9,261.4E+6,216E+6,0,0,229.4E+6,1.6E+6,1.956E+6,348E+3,344E+3,4E+3,0.026,0.023,0.036,ijk_ikj,500,10
ijk_ikj_500_20,737.2E+6,221.8E+6,182.8E+6,0,0,232.38E+6,640E+3,388E+3,336E+3,340E+3,4E+3,0.0207,0.02,0.025,ijk_ikj,500,20
ijk_ikj_500_25,744.4E+6,231.6E+6,191.2E+6,0,0,245.66E+6,700E+3,368E+3,256E+3,248E+3,0,0.021,0.016,0.026,ijk_ikj,500,25
ijk_ikj_500_50,675E+6,203.2E+6,168.2E+6,0,0,205.18E+6,480E+3,556E+3,124E+3,120E+3,4E+3,0.0199,0.016,0.031,ijk_ikj,500,50
ijk_ikj_500_100,622.4E+6,203.4E+6,168.6E+6,0,20E+3,246.94E+6,5.26E+6,4.004E+6,76E+3,72E+3,16E+3,0.0233,0.021,0.026,ijk_ikj,500,100
ijk_ikj_500_125,624E+6,207.2E+6,172.8E+6,0,40E+3,264.58E+6,5.46E+6,3.364E+6,220E+3,216E+3,4E+3,0.0206,0.017,0.026,ijk_ikj,500,125
ijk_ikj_600_10,1.7514E+9,480.8E+6,396.2E+6,20E+3,0,476.78E+6,3.34E+6,2.52E+6,912E+3,916E+3,0,0.0386,0.035,0.059,ijk_ikj,600,10
ijk_ikj_600_12,1.4536E+9,410E+6,338.4E+6,20E+3,0,418.06E+6,1.92E+6,1.28E+6,928E+3,884E+3,4E+3,0.0371,0.031,0.053,ijk_ikj,600,12
ijk_ikj_600_15,1.5326E+9,408.8E+6,337.2E+6,0,0,496.54E+6,1.6E+6,680E+3,780E+3,784E+3,4E+3,0.0371,0.031,0.052,ijk_ikj,600,15
ijk_ikj_600_20,1.2746E+9,351E+6,291.8E+6,0,0,378.76E+6,960E+3,420E+3,740E+3,712E+3,0,0.0343,0.029,0.05,ijk_ikj,600,20
ijk_ikj_600_24,1.232E+9,337.2E+6,279E+6,0,0,362.38E+6,880E+3,404E+3,696E+3,672E+3,4E+3,0.0305,0.029,0.041,ijk_ikj,600,24
ijk_ikj_600_25,1.2848E+9,373.8E+6,307.4E+6,0,0,386.2E+6,960E+3,356E+3,644E+3,652E+3,8E+3,0.0344,0.026,0.049,ijk_ikj,600,25
ijk_ikj_600_30,1.2582E+9,364.2E+6,300.6E+6,0,0,468.78E+6,860E+3,400E+3,372E+3,356E+3,0,0.0303,0.027,0.04,ijk_ikj,600,30
ijk_ikj_600_40,1.148E+9,341.8E+6,281.8E+6,0,0,510.28E+6,1E+6,460E+3,240E+3,240E+3,8E+3,0.0294,0.024,0.046,ijk_ikj,600,40
ijk_ikj_600_50,1.1644E+9,346.6E+6,287E+6,0,0,463.2E+6,800E+3,564E+3,192E+3,180E+3,8E+3,0.029,0.026,0.043,ijk_ikj,600,50
ijk_ikj_600_60,1.1066E+9,347.4E+6,286.2E+6,0,0,415.96E+6,1.68E+6,1.096E+6,192E+3,168E+3,8E+3,0.0361,0.026,0.053,ijk_ikj,600,60
ijk_ikj_600_75,1.1246E+9,343.2E+6,285.4E+6,20E+3,0,403.5E+6,3.5E+6,3.408E+6,180E+3,172E+3,4E+3,0.031,0.027,0.043,ijk_ikj,600,75
ijk_ikj_600_100,1.0742E+9,343E+6,283.6E+6,0,0,393.2E+6,8.62E+6,7.548E+6,260E+3,240E+3,8E+3,0.0408,0.031,0.059,ijk_ikj,600,100
ijk_ikj_600_120,1.0664E+9,350.2E+6,289.6E+6,20E+3,0,363.46E+6,7.92E+6,7.976E+6,480E+3,460E+3,16E+3,0.0396,0.037,0.045,ijk_ikj,600,120
ijk_ikj_600_150,1.0718E+9,382.4E+6,316E+6,0,0,379.9E+6,6.54E+6,6.156E+6,644E+3,652E+3,16E+3,0.0346,0.027,0.046,ijk_ikj,600,150
ijk_ikj_700_10,2.7798E+9,742.2E+6,615.2E+6,0,0,729.86E+6,5.14E+6,3.484E+6,2.092E+6,2.076E+6,4E+3,0.0558,0.054,0.058,ijk_ikj,700,10
ijk_ikj_700_14,2.436E+9,635.4E+6,526.6E+6,0,0,737.5E+6,2.76E+6,1.084E+6,1.58E+6,1.56E+6,4E+3,0.0501,0.047,0.053,ijk_ikj,700,14
ijk_ikj_700_20,2.0236E+9,558.8E+6,463.2E+6,20E+3,0,766.3E+6,1.8E+6,404E+3,1.04E+6,1.024E+6,8E+3,0.051,0.042,0.075,ijk_ikj,700,20
ijk_ikj_700_25,2.0416E+9,545.8E+6,451.8E+6,0,0,662.5E+6,1.64E+6,568E+3,1.032E+6,1.012E+6,0,0.0476,0.042,0.071,ijk_ikj,700,25
ijk_ikj_700_28,1.9064E+9,531E+6,439.8E+6,0,0,574.34E+6,1.38E+6,688E+3,880E+3,852E+3,0,0.0483,0.041,0.069,ijk_ikj,700,28
ijk_ikj_700_35,1.9668E+9,553.4E+6,458.8E+6,0,20E+3,752.36E+6,1.66E+6,828E+3,544E+3,540E+3,12E+3,0.0449,0.041,0.07,ijk_ikj,700,35
ijk_ikj_700_50,1.8488E+9,518.6E+6,428.6E+6,0,0,602.74E+6,1.1E+6,804E+3,368E+3,336E+3,24E+3,0.0506,0.041,0.081,ijk_ikj,700,50
ijk_ikj_700_70,1.786E+9,532.2E+6,439.6E+6,0,0,711.96E+6,3.4E+6,2.884E+6,264E+3,244E+3,24E+3,0.052,0.043,0.082,ijk_ikj,700,70
ijk_ikj_700_100,1.7062E+9,578.4E+6,477.6E+6,0,0,599.64E+6,12.84E+6,12.488E+6,480E+3,460E+3,0,0.0495,0.043,0.061,ijk_ikj,700,100
ijk_ikj_700_140,1.684E+9,565.8E+6,468.6E+6,20E+3,0,548.2E+6,10.88E+6,11.876E+6,1.316E+6,1.308E+6,12E+3,0.0637,0.061,0.065,ijk_ikj,700,140
ijk_ikj_700_175,1.6956E+9,573.8E+6,474.2E+6,0,0,603.48E+6,11.86E+6,9.672E+6,2.032E+6,1.984E+6,24E+3,0.0466,0.043,0.064,ijk_ikj,700,175
ijk_ikj_800_10,4.1516E+9,1.1808E+9,976.8E+6,40E+3,80E+3,1.11364E+9,7.5E+6,3.776E+6,3.876E+6,3.856E+6,4E+3,0.091,0.078,0.134,ijk_ikj,800,10
ijk_ikj_800_16,3.1758E+9,826.6E+6,683.6E+6,80E+3,0,1.03802E+9,3.22E+6,680E+3,2.4E+6,2.38E+6,8E+3,0.0671,0.063,0.082,ijk_ikj,800,16
ijk_ikj_800_20,3.0214E+9,820.2E+6,677.8E+6,40E+3,0,1.00036E+9,2.66E+6,480E+3,1.976E+6,1.952E+6,0,0.0677,0.061,0.082,ijk_ikj,800,20
ijk_ikj_800_25,3.048E+9,806.2E+6,668.4E+6,40E+3,0,999.62E+6,2.48E+6,832E+3,1.596E+6,1.576E+6,12E+3,0.0653,0.061,0.079,ijk_ikj,800,25
ijk_ikj_800_32,2.7942E+9,797.4E+6,659.8E+6,0,0,980.24E+6,2.42E+6,1.404E+6,1.052E+6,992E+3,20E+3,0.079,0.06,0.123,ijk_ikj,800,32
ijk_ikj_800_40,2.7202E+9,776.2E+6,641.2E+6,40E+3,0,1.00068E+9,2.2E+6,1.348E+6,744E+3,740E+3,16E+3,0.0634,0.056,0.101,ijk_ikj,800,40
ijk_ikj_800_50,2.7594E+9,809.8E+6,670.6E+6,0,20E+3,1.10958E+9,2.36E+6,1.392E+6,472E+3,428E+3,16E+3,0.0582,0.057,0.06,ijk_ikj,800,50
ijk_ikj_800_80,2.5754E+9,832E+6,686.4E+6,20E+3,0,917.6E+6,13.68E+6,13.06E+6,396E+3,372E+3,20E+3,0.0739,0.065,0.085,ijk_ikj,800,80
ijk_ikj_800_100,2.5466E+9,898.2E+6,742E+6,20E+3,80E+3,847.82E+6,17.14E+6,18.504E+6,692E+3,648E+3,24E+3,0.0725,0.067,0.094,ijk_ikj,800,100
ijk_ikj_800_160,2.5046E+9,847.6E+6,702.4E+6,20E+3,20E+3,913.5E+6,19.22E+6,15.428E+6,2.156E+6,2.132E+6,36E+3,0.0982,0.095,0.1,ijk_ikj,800,160
ijk_ikj_800_200,2.4896E+9,857E+6,710E+6,0,0,888.86E+6,18.16E+6,13.924E+6,3.76E+6,3.696E+6,40E+3,0.0656,0.063,0.078,ijk_ikj,800,200
ijk_ikj_900_10,5.9102E+9,1.5246E+9,1.2608E+9,120E+3,0,1.51866E+9,10.92E+6,5.704E+6,6.752E+6,6.72E+6,20E+3,0.1228,0.113,0.18,ijk_ikj,900,10
ijk_ikj_900_12,4.9016E+9,1.3062E+9,1.0794E+9,140E+3,0,1.47708E+9,7.32E+6,1.536E+6,5.524E+6,5.5E+6,20E+3,0.1127,0.093,0.162,ijk_ikj,900,12
ijk_ikj_900_15,5.1688E+9,1.3176E+9,1.091E+9,80E+3,0,1.61046E+9,5.46E+6,780E+3,4.528E+6,4.476E+6,8E+3,0.1049,0.096,0.163,ijk_ikj,900,15
ijk_ikj_900_18,4.7838E+9,1.288E+9,1.0648E+9,60E+3,0,1.51186E+9,4.44E+6,808E+3,3.588E+6,3.564E+6,40E+3,0.1073,0.093,0.168,ijk_ikj,900,18
ijk_ikj_900_20,4.3012E+9,1.1786E+9,975.2E+6,120E+3,0,1.3971E+9,3.7E+6,704E+3,3.084E+6,3.04E+6,20E+3,0.0981,0.087,0.153,ijk_ikj,900,20
ijk_ikj_900_25,4.3392E+9,1.1818E+9,979.2E+6,60E+3,0,1.47238E+9,3.82E+6,1.272E+6,2.18E+6,2.184E+6,28E+3,0.086,0.085,0.088,ijk_ikj,900,25
ijk_ikj_900_30,4.2454E+9,1.1494E+9,950E+6,80E+3,0,1.50798E+9,3.4E+6,1.492E+6,1.468E+6,1.444E+6,16E+3,0.0992,0.086,0.178,ijk_ikj,900,30
ijk_ikj_900_36,3.9208E+9,1.092E+9,903E+6,40E+3,0,1.46726E+9,3.26E+6,1.796E+6,1.176E+6,1.12E+6,24E+3,0.098,0.088,0.179,ijk_ikj,900,36
ijk_ikj_900_45,3.945E+9,1.113E+9,918.6E+6,40E+3,0,1.47582E+9,3.06E+6,1.908E+6,860E+3,824E+3,24E+3,0.0902,0.079,0.15,ijk_ikj,900,45
ijk_ikj_900_50,3.9288E+9,1.0876E+9,900E+6,60E+3,0,1.49084E+9,2.34E+6,1.36E+6,680E+3,624E+3,40E+3,0.0966,0.087,0.155,ijk_ikj,900,50
ijk_ikj_900_60,3.7366E+9,1.0642E+9,881.6E+6,40E+3,0,1.43316E+9,3.1E+6,1.996E+6,584E+3,540E+3,28E+3,0.0945,0.08,0.152,ijk_ikj,900,60
ijk_ikj_900_75,3.7952E+9,1.1096E+9,918.6E+6,0,0,1.38086E+9,11.08E+6,9.868E+6,592E+3,536E+3,36E+3,0.0926,0.081,0.154,ijk_ikj,900,75
ijk_ikj_900_90,3.7204E+9,1.1858E+9,982.2E+6,20E+3,0,1.31996E+9,27.72E+6,26.18E+6,560E+3,512E+3,44E+3,0.1061,0.098,0.137,ijk_ikj,900,90
ijk_ikj_900_100,3.6252E+9,1.1694E+9,967.8E+6,20E+3,0,1.19768E+9,26.98E+6,29.248E+6,816E+3,740E+3,32E+3,0.1167,0.108,0.153,ijk_ikj,900,100
ijk_ikj_900_150,3.618E+9,1.2582E+9,1.0428E+9,0,0,1.32392E+9,25.36E+6,21.744E+6,2.616E+6,2.532E+6,44E+3,0.1283,0.112,0.192,ijk_ikj,900,150
ijk_ikj_900_180,3.5542E+9,1.207E+9,996.2E+6,0,0,1.24642E+9,24.14E+6,20.916E+6,4.284E+6,4.244E+6,24E+3,0.1551,0.133,0.229,ijk_ikj,900,180
ijk_ikj_900_225,3.5594E+9,1.2496E+9,1.0326E+9,40E+3,0,1.24554E+9,23.4E+6,18.616E+6,5.812E+6,5.772E+6,108E+3,0.1014,0.088,0.149,ijk_ikj,900,225
ijk_ikj_1000_10,8.1064E+9,2.1254E+9,1.761E+9,340E+3,0,2.19514E+9,15.72E+6,6.464E+6,9.88E+6,9.816E+6,32E+3,0.1694,0.151,0.243,ijk_ikj,1000,10
ijk_ikj_1000_20,5.8998E+9,1.7042E+9,1.409E+9,180E+3,0,1.9143E+9,5.74E+6,1.54E+6,4.312E+6,4.248E+6,48E+3,0.135,0.118,0.198,ijk_ikj,1000,20
ijk_ikj_1000_25,5.9522E+9,1.6352E+9,1.353E+9,120E+3,0,2.02284E+9,5.38E+6,2.036E+6,2.984E+6,2.912E+6,32E+3,0.1327,0.115,0.194,ijk_ikj,1000,25
ijk_ikj_1000_40,5.3132E+9,1.5292E+9,1.2658E+9,100E+3,0,2.03764E+9,4.36E+6,2.496E+6,1.452E+6,1.388E+6,100E+3,0.1301,0.115,0.193,ijk_ikj,1000,40
ijk_ikj_1000_50,5.3908E+9,1.5174E+9,1.2548E+9,80E+3,0,1.95E+9,3.8E+6,2.792E+6,984E+3,868E+3,44E+3,0.1141,0.107,0.144,ijk_ikj,1000,50
ijk_ikj_1000_100,4.9742E+9,1.6082E+9,1.3306E+9,80E+3,0,1.7371E+9,40.38E+6,39.092E+6,900E+3,812E+3,68E+3,0.1416,0.137,0.157,ijk_ikj,1000,100
ijk_ikj_1000_125,4.9884E+9,1.6802E+9,1.3864E+9,40E+3,0,1.72198E+9,37.6E+6,36.688E+6,1.94E+6,1.808E+6,108E+3,0.1283,0.122,0.168,ijk_ikj,1000,125
ijk_ikj_1000_200,4.8638E+9,1.6486E+9,1.3642E+9,40E+3,0,1.70658E+9,34.32E+6,27.772E+6,7.536E+6,7.388E+6,108E+3,0.1965,0.186,0.24,ijk_ikj,1000,200
ijk_ikj_1000_250,4.8794E+9,1.6952E+9,1.4036E+9,60E+3,0,1.70124E+9,31.84E+6,25.24E+6,8.18E+6,8.168E+6,72E+3,0.1364,0.119,0.204,ijk_ikj,1000,250
ijk_ikj_1100_10,10.7906E+9,3.0012E+9,2.4822E+9,1.1E+6,0,2.93036E+9,20.86E+6,5.656E+6,15.54E+6,15.44E+6,56E+3,0.2336,0.2,0.321,ijk_ikj,1100,10
ijk_ikj_1100_11,10.632E+9,3.0128E+9,2.49E+9,560E+3,0,3.02658E+9,16.8E+6,1.216E+6,15.6E+6,15.492E+6,76E+3,0.2216,0.207,0.297,ijk_ikj,1100,11
ijk_ikj_1100_20,7.8538E+9,2.227E+9,1.8418E+9,400E+3,0,2.62898E+9,7.08E+6,1.124E+6,5.7E+6,5.556E+6,96E+3,0.1757,0.158,0.223,ijk_ikj,1100,20
ijk_ikj_1100_22,8.2834E+9,2.3488E+9,1.9434E+9,380E+3,0,2.74828E+9,6.62E+6,1.32E+6,4.836E+6,4.696E+6,148E+3,0.1943,0.161,0.259,ijk_ikj,1100,22
ijk_ikj_1100_25,7.9236E+9,2.209E+9,1.8282E+9,440E+3,0,2.67058E+9,7E+6,2.232E+6,4.076E+6,3.952E+6,152E+3,0.1699,0.153,0.228,ijk_ikj,1100,25
ijk_ikj_1100_44,7.0022E+9,1.9688E+9,1.6268E+9,180E+3,0,2.66604E+9,4.86E+6,2.944E+6,1.644E+6,1.488E+6,100E+3,0.1732,0.152,0.239,ijk_ikj,1100,44
ijk_ikj_1100_50,7.173E+9,2.0992E+9,1.7362E+9,100E+3,0,2.7587E+9,5.62E+6,3.704E+6,1.284E+6,1.136E+6,108E+3,0.1626,0.151,0.223,ijk_ikj,1100,50
ijk_ikj_1100_55,7.1496E+9,2.0198E+9,1.67E+9,180E+3,0,2.70258E+9,5.76E+6,3.588E+6,1.248E+6,1.104E+6,116E+3,0.1539,0.143,0.198,ijk_ikj,1100,55
ijk_ikj_1100_100,6.6212E+9,2.2258E+9,1.8408E+9,120E+3,0,2.31804E+9,53.6E+6,51.568E+6,1.432E+6,1.24E+6,124E+3,0.1923,0.168,0.254,ijk_ikj,1100,100
ijk_ikj_1100_110,6.7078E+9,2.2198E+9,1.835E+9,80E+3,0,2.36574E+9,52.66E+6,50.02E+6,1.804E+6,1.632E+6,132E+3,0.2031,0.183,0.259,ijk_ikj,1100,110
ijk_ikj_1100_220,6.4598E+9,2.1836E+9,1.8012E+9,60E+3,20E+3,2.27058E+9,43.82E+6,34.42E+6,10.872E+6,10.752E+6,120E+3,0.2512,0.242,0.268,ijk_ikj,1100,220
ijk_ikj_1100_275,6.4898E+9,2.1666E+9,1.7962E+9,40E+3,0,2.30854E+9,43.16E+6,33.68E+6,10.44E+6,10.352E+6,112E+3,0.1861,0.156,0.269,ijk_ikj,1100,275
ijk_ikj_1200_10,14.009E+9,3.736E+9,3.0912E+9,940E+3,0,3.77574E+9,26.06E+6,6.192E+6,20.66E+6,20.504E+6,124E+3,0.303,0.262,0.407,ijk_ikj,1200,10
ijk_ikj_1200_12,11.621E+9,3.0842E+9,2.5552E+9,680E+3,0,3.48178E+9,16.86E+6,1.38E+6,15.208E+6,15.064E+6,68E+3,0.2599,0.221,0.312,ijk_ikj,1200,12
ijk_ikj_1200_15,12.2514E+9,3.1562E+9,2.6128E+9,660E+3,0,3.75538E+9,13.04E+6,1.056E+6,11.956E+6,11.852E+6,112E+3,0.2433,0.225,0.361,ijk_ikj,1200,15
ijk_ikj_1200_16,10.7194E+9,2.8154E+9,2.3314E+9,600E+3,0,3.3664E+9,11.12E+6,1.128E+6,10.132E+6,10.008E+6,124E+3,0.228,0.205,0.36,ijk_ikj,1200,16
